place,longitude,latitude
云南府,102.74321,24.70312
临安府,102.48826,23.71902
大理府,100.16444,25.69783
永昌府,99.16686,25.11244
丽江府,100.17928,26.55942
澄江府,102.91122,24.6732
楚雄府,101.54286,25.03307
景东厅,100.83629,24.45213
蒙化厅,100.30888,25.23003
曲靖府,103.79678,25.49584
永北厅,100.74804,26.68933
东川府,103.29464,26.42056
武定州,102.46172,25.56265
元江州,102.00642,23.60401
元江府,102.00642,23.60401
昭通府,103.58723,27.81223
开化府,104.23555,23.37613
广西州,103.76,24.52
普洱府,101.03,23.07
顺宁府,99.91098,24.59181
镇雄州,104.86,27.42
广南府,103.79,25.51
镇沅厅,101.11284,24.01167
镇边厅,99.93633,22.56742
双鸭山市,132.5435572,46.6790571
鸡西市,132.2862976,45.6291563
七台河市,130.9705031,45.9103936
伊春市,129.2109362,47.8118246
牡丹江市,129.8872027,44.5969222
鹤岗市,130.7996624,47.6392829
佳木斯市,132.2584224,47.2665241
延边朝鲜族自治州,129.129434,43.1400953
通化市,125.9502943,41.9551429
吉林市,126.8476515,43.5822649
白山市,127.2854923,42.0681872
辽源市,125.3052277,42.8106353
哈尔滨市,127.9571505,45.6372551
大庆市,124.7003528,46.3476596
绥化市,126.6438073,46.892616
松原市,124.4768177,44.7999569
白城市,123.013593,45.3456536
长春市,125.7672102,44.3832614
兴安盟,121.3664132,46.2311512
铁岭市,124.1709889,42.6440285
抚顺市,124.6559184,41.8338892
四平市,124.4712377,43.5703512
丹东市,124.3783841,40.5071681
本溪市,124.5701689,41.2287413
沈阳市,123.1387427,42.0958383
盘锦市,121.9872715,41.0600586
营口市,122.4291204,40.3907319
辽阳市,123.2457085,41.1817983
锦州市,121.6065318,41.4500008
鞍山市,123.0099034,40.7160008
大兴安岭地区,124.2032062,52.3265168
黑河市,126.985761,49.2641052
齐齐哈尔市,124.5454136,47.698897
呼伦贝尔市,121.1973336,49.6617507
东营市,118.6468049,37.6509507
威海市,122.0505892,37.1131158
日照市,119.2635987,35.4840903
大连市,122.2095739,39.4608044
潍坊市,119.0731704,36.5542937
烟台市,120.8047362,37.3511556
青岛市,120.2618864,36.369479
苏州市,120.6517549,31.380616
扬州市,119.4730283,32.7380423
南通市,121.0902882,32.1744549
常州市,119.6367361,31.6252032
无锡市,120.0763912,31.5274531
泰州市,120.0579655,32.5702145
盐城市,120.2119447,33.5377975
镇江市,119.4533902,32.0160249
德州市,116.64608,37.2473031
唐山市,118.365448,39.6821192
廊坊市,116.6278857,39.2589907
承德市,117.5485394,41.3456472
沧州市,116.7733288,38.2691498
秦皇岛市,119.222041,40.0445043
朝阳市,120.0153893,41.5102243
葫芦岛市,120.2290334,40.6053281
济南市,117.0891514,36.7386927
淄博市,118.0538592,36.6098783
滨州市,117.837425,37.536877
莱芜市,117.6611455,36.2735684
淮北市,116.7429363,33.7270305
淮南市,116.7348612,32.7563179
蚌埠市,117.3259693,33.1084788
南京市,118.8427187,31.9268958
宿迁市,118.5196415,33.7848892
淮安市,118.9629245,33.3545861
临沂市,118.2809319,35.3092745
枣庄市,117.3923902,34.9157029
泰安市,117.0263962,36.0009617
宿州市,117.2108058,33.8585013
徐州市,117.5133183,34.3574483
连云港市,119.1644524,34.5590578
济宁市,116.7320677,35.3755847
通辽市,121.5626419,43.8258648
锡林郭勒盟,115.5155005,44.2036579
阜新市,121.9547986,42.2791236
赤峰市,118.8814023,43.2093571
聊城市,115.8797914,36.4565873
邢台市,114.815471,37.2122398
石家庄市,114.4390402,38.1318176
衡水市,115.8237131,37.762053
邯郸市,114.5427052,36.5527533
安阳市,114.3531941,35.8773266
新乡市,114.0868288,35.2643353
鹤壁市,114.3094512,35.7228119
濮阳市,115.2784013,35.8080569
商丘市,115.6986726,34.2886868
亳州市,116.1817262,33.4349202
周口市,114.8776456,33.7223464
开封市,114.536185,34.6047339
漯河市,113.8998189,33.6549996
许昌市,113.7091506,34.072251
郑州市,113.4704359,34.6271759
驻马店市,114.1510024,32.9228753
菏泽市,115.6916897,35.1520982
张家口市,115.0323621,40.8654195
朔州市,112.6407077,39.6175662
大同市,113.7215943,39.8998279
忻州市,112.4067678,38.882248
保定市,115.1710705,39.0210976
乌兰察布市,112.4443546,41.6870982
包头市,110.2566548,41.5536303
呼和浩特市,111.4977027,40.5913844
晋中市,112.9608576,37.3268477
太原市,112.3155548,37.9592732
晋城市,112.7068784,35.6103899
长治市,112.9159113,36.4755003
阳泉市,113.4971852,38.0637256
吕梁市,111.2617667,37.6786338
安康市,108.9270301,32.7577637
商洛市,109.9014175,33.6475589
西安市,108.7864722,34.1059881
三门峡市,111.1060581,34.3609932
南阳市,112.2845215,33.0429297
平顶山市,113.0114067,33.7955644
洛阳市,112.0310001,34.291003
十堰市,110.4417327,32.4569866
随州市,113.4238497,31.8282084
焦作市,112.8939603,35.1099044
渭南市,109.8499378,34.9486749
运城市,111.062882,35.1866962
咸阳市,108.3914432,34.7872785
延安市,109.3173344,36.4367885
铜川市,109.0330814,35.1952345
临汾市,111.3774591,36.2261144
鄂尔多斯市,108.6304606,39.4116166
吴忠市,106.5447542,37.45895
石嘴山市,106.5174291,39.0077997
银川市,106.3543077,38.2282289
榆林市,109.5641688,38.0390382
乌海市,106.8892478,39.4192793
巴彦淖尔市,107.5668181,41.4469414
天水市,105.7369755,34.6478686
平凉市,106.6457183,35.3062741
庆阳市,107.5919079,36.1641025
固原市,106.1816727,35.951828
宝鸡市,107.2001364,34.3800754
陇南市,105.2204209,33.5969104
汉中市,107.1020159,33.0905832
巴中市,107.0379244,32.0175483
广元市,105.7817186,32.2617732
绵阳市,104.7024805,31.8491458
海南藏族自治州,100.2527217,35.9519212
临夏回族自治州,103.2820602,35.6299489
兰州市,103.6378458,36.3592822
定西市,104.4514801,35.1191639
甘南藏族自治州,102.7697927,34.3272777
白银市,104.6245282,36.6128189
中卫市,105.4729476,37.0433852
海东地区,102.3427905,36.330443
海北藏族自治州,100.3127109,37.7990757
西宁市,101.449541,36.8175224
黄南藏族自治州,101.6273189,35.0208008
张掖市,99.8752737,38.9386836
武威市,103.0609026,38.1766681
金昌市,102.0718132,38.4352311
阿拉善盟,102.4453279,40.4970136
绍兴市,120.6357771,29.7334228
南平市,118.1434077,27.3388911
丽水市,119.5129432,28.1990996
台州市,121.2542688,28.7113269
宁波市,121.5964946,29.6406468
杭州市,119.4707628,29.8998629
温州市,120.5695301,27.8205263
舟山市,122.2575851,30.3315042
衢州市,118.6743164,28.9345722
金华市,119.9525892,29.1165494
芜湖市,118.330515,31.0740459
合肥市,117.2480727,31.9955177
安庆市,116.5954494,30.6095734
宣城市,118.8531476,30.6856505
巢湖市,117.7817476,31.4629094
滁州市,118.1026218,32.5440318
铜陵市,117.8743288,30.9272931
马鞍山市,118.6192195,31.5335496
嘉兴市,120.8984567,30.5990739
湖州市,119.8684301,30.7445674
三明市,117.397762,26.2989719
宁德市,119.6366365,26.9253636
泉州市,118.2992166,25.1463105
漳州市,117.4836754,24.3139523
福州市,119.3692627,26.0116919
莆田市,119.0077722,25.3789783
景德镇市,117.2709783,29.3085338
池州市,117.3653896,30.2829821
黄山市,118.0712074,29.9068102
上饶市,117.4698647,28.7742207
南昌市,116.025549,28.6600747
鹰潭市,117.1078627,28.2240104
赣州市,115.2733181,25.7091793
龙岩市,116.740431,25.2931483
吉安市,114.824177,26.9727902
抚州市,116.4343161,27.5088805
新余市,114.8515474,27.8451177
萍乡市,113.9029627,27.5127416
信阳市,114.8833272,32.0812064
六安市,116.3147601,31.7563751
阜阳市,115.7039811,32.9173109
咸宁市,114.1754552,29.6238411
天门市,113.1138092,30.6452291
孝感市,113.8789466,31.1185166
武汉市,114.3420681,30.6236599
鄂州市,114.7554377,30.3274062
九江市,115.4405395,29.3239894
宜春市,114.9731077,28.3058498
黄冈市,115.339325,30.7162084
黄石市,115.0248742,29.9271002
清远市,112.8763995,24.3131662
韶关市,113.7726899,24.8193901
河源市,114.9579278,24.0446259
梅州市,116.0803644,24.2032711
汕头市,116.7312102,23.335035
潮州市,116.7933568,23.778582
