ID,vol,author,add1,x,y,,
3,,丘處機,棲霞,120.82707,37.30238,,全国 籍贯分布
4,,釋行秀,解縣,110.85544,34.91178,,
6,,王檝,虢縣,104.91336,33.39463,,
9,,史秉直,永清,116.49061,39.32571,,
10,,李俊民,晉城,112.83916,35.50432,,
11,,馮志亨,馮翊,109.9481,34.7968,,
12,,孔元措,曲阜,116.98606,35.59755,,
15,,楊奐,奉天,108.2356,34.5303,,
17,,徐之綱,濟州,116.598,36.39659,,
18,,楊宏道,淄川,117.96096,36.63599,,
19,,張柔,定興,115.77419,39.26959,,
20,,耶律楚材,燕京,116.46,39.92,,
21,,元好問,秀容,112.7312,38.39856,,
23,,李士全,太谷,112.55276,37.42551,,
25,,李志常,觀城,115.37628,35.94408,,
26,,姬志真,高平,112.91959,35.79206,,
27,,李庭,奉先,109.58512,34.95594,,
28,,楊果,蒲陰,115.31509,38.41234,,
29,,竇默,肥鄉,114.8031,36.55203,,
30,,趙復,雲夢,113.7464,31.02582,,
31,,段克己,稷山,110.97883,35.60216,,
32,,段成己,稷山,110.97883,35.60216,,
33,,麻革,臨晉,110.55164,35.09781,,
34,,李灝,章丘,117.4854,36.8169,,
35,,史天澤,永清,116.49061,39.32571,,
36,,王磐,永年,114.72307,36.70103,,
37,,劉祁,渾源,113.6849,39.69634,,
38,,姚樞,洛陽,112.38263,34.66528,,
39,,杜瑛,信安,118.50266,28.90373,,
40,,李昶,須城,116.29917,35.91034,,
42,,杜仁傑,長清,116.72206,36.55182,,
43,,徐世隆,西華,114.52444,33.79306,,
45,,高嗚,真定,114.56364,38.14011,,
46,,許衡,河内,112.92,35.08,,
49,,硯堅,應城,113.56968,30.946,,
50,,諶祐,南豐,116.52993,27.21431,,
52,,王義山,富州,105.8504,23.64806,,
53,,李珏,吉水,115.13225,27.21437,,
54,,舒岳祥,寧海,121.42555,29.28362,,
56,,秦志安,陵川,113.27701,35.77813,,
57,,劉秉忠,瑞州,115.37228,28.4256,,
58,,李道謙,汴梁,114.35,34.79,,
60,,耶律鑄,,116.46,39.92,,
61,,郝經,陵川,113.27701,35.77813,,
63,,陳時可,燕京,116.46,39.92,,
64,,王粹,平州,109.47186,25.66099,,
67,,敬鉉,易州,115.49348,39.34904,,
69,,劉赞,新城,115.98756,39.24595,,
70,,陳賡,猗氏,110.77404,35.14794,,
73,,史志經,翼城,111.70844,35.73876,,
78,,高（壽羽）,益津,116.405,39.1007,,
85,,朱晞顏,長興,119.90138,31.01389,,
86,,劉郁,渾源,113.6849,39.69634,,
87,,龔開,淮陰,118.93359,33.53131,,
89,,梅應發,廣德,119.42019,30.89469,,
90,,曾子良,金谿,116.77626,27.91008,,
91,,張著,襄陵,111.39649,36.02399,,
92,,楊恭懿,高陵,109.08048,34.53332,,
93,,宋衜,長子,112.87379,36.11993,,
94,,鮑雲龍,歙縣,118.43394,29.86577,,
96,,榮肇,鹽官,120.5375,30.40628,,
97,,胡祗遹,武安,114.19186,36.69758,,
99,,王惲,汲縣,114.07027,35.41038,,
101,,方回,歙縣,118.43394,29.86577,,
102,,牟巘,湖州,120.09931,30.86496,,
104,,王鶚,東明,115.08884,35.29849,,
105,,張安石,吉州,110.67517,36.09563,,
106,,郭時中,太原,112.56483,37.87375,,
107,,楊威,成安,114.69406,36.44135,,
110,,郭起南,汾陽,111.77903,37.2634,,
112,,裴憲,長安,108.90698,34.24642,,
114,,毛翼,汴梁,114.35,34.79,,
115,,高不儔,永州,111.61256,26.21034,,
116,,王義端,豐城,115.78578,28.19775,,
117,,陳宜孫,休寧,118.17577,29.78119,,
118,,冷應登,武寧,115.09958,29.27749,,
120,,何夢桂,淳安,118.96516,29.61229,,
121,,胡次焱,婺源,117.84459,29.24473,,
122,,王積翁,福寧,119.9904,26.88346,,
123,,武震,平棘,114.77218,37.75293,,
124,,胡三省,寧海,121.42555,29.28362,,
125,,陳天祥,寧晉,114.9154,37.62109,,
127,,方逢振,淳安,118.96516,29.61229,,
128,,汪深,休寧,118.17577,29.78119,,
131,,釋自閑,松陽,119.48534,28.45075,,
132,,郭守敬,邢臺,114.49426,37.06636,,
133,,黄仲元,莆田,119.0111,25.43395,,
134,,魏初,順聖,114.5913,40.2264,,
135,,劉辰翁,廬陵,114.97128,27.10324,,
136,,金履祥,蘭溪,119.47885,29.20445,,
138,,鄧剡,廬陵,114.97128,27.10324,,
139,,董樸,邢臺,114.49426,37.06636,,
140,,張泰亨,堂邑,115.77485,36.48784,,
142,,李晉,汾陽,111.77903,37.2634,,
146,,劉宣,潞州,113.10349,36.18354,,
