ID,add2,add,number,x,y,所属,,
1,钱塘,錢塘,29,120.19,30.26,浙江, ,排名
2,婺源,婺源,25,117.84459,29.24473,江西,,
3,庐陵,廬陵,24,114.97128,27.10324,江西,,
4,鄱阳,鄱陽,21,116.66383,28.99417,江西,,
5,浦江,浦江,17,119.88368,29.45871,浙江,,
6,休宁,休寧,17,118.17577,29.78119,安徽,,
7,东平,東平,14,116.480642,35.941821,山東,,
8,临川,臨川,14,116.35134,27.98478,江西,,
9,平阳,平陽,14,120.55644,27.67572,浙江,,
10,歙县,歙縣,14,118.43394,29.86577,安徽,,
11,河内,河内,13,112.92,35.08,河南,,
12,天台,天台,13,121.02656,29.13826,浙江,,
13,鄞县,鄞縣,13,121.54266,29.86632,浙江,,
14,永嘉,永嘉,13,120.65322,28.01829,浙江,,
15,真定,真定,13,114.56364,38.14011,河北,,
16,吴县,吳縣,13,120.61862,31.31271,江蘇,,
17,奉化,奉化,12,121.40691,29.65166,浙江,,
18,济南,濟南,12,117,36.65,山東,,
19,豫章,豫章,12,115.89772,28.6749,江西,,
20,黄岩,黄巖,11,121.27,28.64,浙江,,
21,嘉兴,嘉興,11,120.7532,30.76747,浙江,,
22,吴兴,吳興,11,120.1,30.86,浙江,,
23,诸暨,諸暨,11,120.22766,29.71314,浙江,,
24,吉水,吉水,10,115.13225,27.21437,江西,,
25,金华,金華,10,119.64992,29.10471,浙江,,
26,眉山,眉山,10,103.83146,30.0505,四川,,
27,莆田,莆田,10,119.0111,25.43395,福建,,
28,汴梁,汴梁,9,114.35,34.79,河南,,
29,大名,大名,9,115.13826,36.24564,河北,,
30,定襄,定襄,9,112.94377,38.49269,山西,,
31,江阴,江陰,9,120.26609,31.90877,江蘇,,
32,临海,臨海,9,121.1206,28.84313,浙江,,
33,洛阳,洛陽,9,112.38263,34.66528,河南,,
34,三山,三山,9,119.38144,25.72792,福建,,
35,永丰,永豐,9,115.43272,27.32211,江西,,
36,淳安,淳安,8,118.96516,29.61229,浙江,,
37,高平,高平,8,112.91959,35.79206,山西,,
38,潞州,潞州,8,113.10349,36.18354,山西,,
39,南昌,南昌,8,115.89772,28.6749,江西,,
40,太原,太原,8,112.56483,37.87375,山西,,
41,新城,新城,8,115.98756,39.24595,山東,,
42,新喻,新喻,8,114.93114,27.80408,江西,,
43,义乌,義烏,8,120.07162,29.30009,浙江,,
44,茶陵,茶陵,7,113.55217,26.80198,湖南,,
45,长沙,長沙,7,112.97813,28.1982,湖南,,
46,大都,大都,7,116.46,39.92,北京,,
