ID,作者,籍贯,今地f,x,y,,
1,舒岳祥,寧海,寧海,121.42555,29.28362,,西安 80
2,朱晞顏,長興,長興,119.90138,31.01389,,全元文作者在浙江的籍贯
3,榮肇,鹽官,海寧,120.5375,30.40628,,
4,牟巘,湖州,湖州,120.09931,30.86496,,
5,何夢桂,淳安,淳安,118.96516,29.61229,,
6,胡三省,寧海,寧海,121.42555,29.28362,,
7,方逢振,淳安,淳安,118.96516,29.61229,,
8,釋自閑,松陽,松陽,119.48534,28.45075,,
9,金履祥,蘭溪,金華,119.47885,29.20445,,
10,朱子昌,平陽,平陽,120.55644,27.67572,,
11,林千之,平陽,平陽,120.55644,27.67572,,
12,董嗣杲,錢塘,杭州,120.19,30.26,,
13,曹說,鄞縣,鄞縣,121.54266,29.86632,,
14,陳觀,奉化,奉化,121.40691,29.65166,,
15,牟楷,黄巖,台州,121.27,28.64,,
16,董楷,天台,天台,121.02656,29.13826,,
17,陶澤,諸暨,諸暨,120.22766,29.71314,,
18,方鳳,浦江,浦江,119.88368,29.45871,,
19,林景熙,平陽,平陽,120.55644,27.67572,,
20,葉李,杭州,杭州,120.19,30.26,,
21,鄭滁孫,處州,麗水,119.91301,28.44873,,
22,孔濂,衢州,衢州,118.86765,28.95682,,
23,梅時舉,永嘉,溫州,120.65322,28.01829,,
24,曹漢炎,慈谿,慈谿,121.4442,29.9792,,
25,徐天祐,山陰,紹興,120.57826,30.00452,,
26,朱叔麟,義烏,義烏,120.07162,29.30009,,
27,張伯淳,崇德,崇德,120.41874,30.53045,,
28,戴表元,奉化,奉化,121.40691,29.65166,,
29,胡渭,諸暨,諸暨,120.22766,29.71314,,
30,釋希陵,義烏,義烏,120.07162,29.30009,,
31,牟應龍,吳興,吳興,120.1,30.86,,
32,白珽,錢塘,杭州,120.19,30.26,,
33,胡長孺,永康,永康,120.02525,28.89727,,
34,孟宗寶,餘杭,杭州,119.9406,30.27177,,
35,趙孟何,鄞縣,寧波,121.54266,29.86632,,
36,趙孟僩,黃巌,,121.27,28.64,,
37,俞時中,浦江,浦江,119.88368,29.45871,,
38,俞浙,紹興,紹興,120.58,30.01,,
39,吳謙,浦江,浦江,119.88368,29.45871,,
40,張仲壽,錢塘,,120.19,30.26,,
41,任士林,奉化,奉化,121.40691,29.65166,,
42,趙孟頫,湖州,吳興,120.09931,30.86496,,
43,吳渭,浦江,浦江,119.88368,29.45871,,
44,黄庚,天台,天台,121.02656,29.13826,,
45,仇遠,錢塘,杭州,120.19,30.26,,
46,盛象翁,黄巖,黄巖,121.27,28.64,,
47,陳存,龍泉,龍泉,119.12091,28.08256,,
48,郭晦,嘉興,嘉興,120.7532,30.76747,,
49,王奎,鄞縣,鄞縣,121.54266,29.86632,,
50,陳自立,上虞,上虞,120.97359,29.95265,,
51,陳孚,臨海,臨海,121.1206,28.84313,,
52,黄超然,黄巖,黄巖,121.27,28.64,,
53,范霖,縉雲,縉雲,120.05844,28.64839,,
54,鄧文原,杭州,,120.19,30.26,,
55,張楧,錢塘,杭州,120.19,30.26,,
56,管道杲,吳興,吳興,120.1,30.86,,
57,管道昇,吳興,吳興,120.1,30.86,,
58,釋明本,新城,杭州,115.98756,39.24595,,
59,薛觀,鄞縣,寧波,121.54266,29.86632,,
60,史周卿,四明,寧波,121.56,29.86,,
61,梁椅,麗水,麗水,119.91301,28.44873,,
62,陳暠伯,奉化,奉化,121.40691,29.65166,,
63,林永年,東嘉,温州,#N/A,#N/A,,
64,陳公凱,浦江,浦江,119.88368,29.45871,,
65,柯謙,仙居,仙居,120.73346,28.85221,,
66,王献可,遂安,淳安,118.7384,29.48077,,
67,邱應辰,黄巖,黄巖,121.27,28.64,,
68,袁桷,慶元,寧波,121.54266,29.86632,,
69,韓性,紹興,紹興,120.58,30.01,,
70,蔡人傑,新昌,新昌,120.90211,29.49465,,
71,王度,處州,麗水,119.91301,28.44873,,
72,吾衍,錢唐,杭州,#N/A,#N/A,,
73,倪淵,烏程,烏程,120.09931,30.86496,,
74,王澄,浦江,浦江,119.88368,29.45871,,
75,程郇,烏程,吳興,120.09931,30.86496,,
76,吳士諤,永康,永康,120.02525,28.89727,,
77,許謙,金華,金華,119.64992,29.10471,,
78,柳貫,浦江,,119.88368,29.45871,,
79,釋善入,定海,鎮海,121.71172,29.9537,,
80,程端禮,鄞縣,寧波,121.54266,29.86632,,
81,楊载,杭州,杭州,120.19,30.26,,
82,鄭滁孫,處州,麗水,119.91301,28.44873,,
83,黄和中,上虞,上虞,120.97359,29.95265,,
84,陳鈞,永嘉,温州,120.65322,28.01829,,
85,陳榮龍,奉化,奉化,121.40691,29.65166,,
86,朱士立,平陽,平陽,120.55644,27.67572,,
87,吳天雷,諸暨,諸暨,120.22766,29.71314,,
88,白賁,錢塘,杭州,120.19,30.26,,
89,陳康祖,龍泉,龍泉,119.12091,28.08256,,
90,方天麟,臨安,杭州,119.72128,30.23106,,
91,宋眉年,永嘉,温州,120.65322,28.01829,,
92,吳亮,錢塘,杭州,120.19,30.26,,
93,張士元,山陰,紹興,120.57826,30.00452,,
94,賈銘,海昌,海寧,120.69,30.53,,
95,王壽衍,杭州,杭州,120.19,30.26,,
96,鄭謐,金華,金華,119.64992,29.10471,,
97,吳直方,浦江,浦江,119.88368,29.45871,,
98,林定老,麗水,麗水,119.91301,28.44873,,
99,黄溍,義烏,義烏,120.07162,29.30009,,
100,黄翔龍,明州,寧波,121.54266,29.86632,,
101,戴侗,永嘉,温州,120.65322,28.01829,,
102,方樗,浦江,浦江,119.88368,29.45871,,
103,朱文魁,金華,金華,119.64992,29.10471,,
104,翁傳心,慈溪,慈溪,121.4442,29.9792,,
105,吳暾,淳安,淳安,118.96516,29.61229,,
106,胡助,東陽,東陽,120.22798,29.26057,,
107,章矗,平陽,平陽,120.55644,27.67572,,
108,程端學,鄞縣,鄞縣,121.54266,29.86632,,
109,項炯,臨海,臨海,121.1206,28.84313,,
110,王艮,諸曁,諸曁,120.22766,29.71314,,
111,陳樵,東陽,東陽,120.22798,29.26057,,
112,鄭奕夫,鄞縣,寧波,121.54266,29.86632,,
113,釋祖銘,奉化,奉化,121.40691,29.65166,,
114,吳師道,蘭谿,金華,119.47885,29.20445,,
115,朱震亨,義烏,義烏,120.07162,29.30009,,
116,蕭元澥,奉化,奉化,121.40691,29.65166,,
117,林昉,黄巖,黄巖,121.27,28.64,,
118,洪國瑞,壽昌,壽昌,119.21964,29.36959,,
119,沈德章,錢塘,杭州,120.19,30.26,,
120,王與,東甌,東甌,#N/A,#N/A,,
121,鮑思義,海寧,海寧,120.5375,30.40628,,
122,陳堅,錢塘,杭州,120.19,30.26,,
123,張天英,永嘉,温州,120.65322,28.01829,,
124,李孝光,樂清,樂清,120.95769,28.13068,,
125,張天祐,金華,金華,119.64992,29.10471,,
126,口口龍,湖州,湖州,120.09931,30.86496,,
127,劉大彬,錢塘,杭州,120.19,30.26,,
128,孟夢恂,黄巖,黄巖,121.27,28.64,,
129,潘伯修,黄巖,黄巖,121.27,28.64,,
130,李華,仙居,仙居,120.73346,28.85221,,
131,釋如瑩,餘杭,,119.9406,30.27177,,
132,周巽子,象山,象山,121.86618,29.47443,,
133,葉林,錢塘,錢塘,120.19,30.26,,
134,舒叔獻,寧海,寧海,121.42555,29.28362,,
135,周耘,象山,象山,121.86618,29.47443,,
136,釋覺岸,烏程,湖州,120.09931,30.86496,,
137,黄向,句章,餘姚,121.16,30.04,,
138,俞鎮,崇德,崇德,120.41874,30.53045,,
139,洪震老,淳安,淳安,118.96516,29.61229,,
140,沈明仁,歸安,,120.09931,30.86496,,
141,葉峴,青田,青田,120.28816,28.14388,,
142,釋祖瑛,四明,四明,121.56,29.86,,
143,張衍,金華,金華,119.64992,29.10471,,
144,唐泳涯,嘉興,嘉興,120.7532,30.76747,,
145,張樞,金華,金華,119.64992,29.10471,,
146,鄭元祐,遂昌,遂昌,119.26347,28.58789,,
147,葉知本,嘉興,嘉興,120.7532,30.76747,,
148,鄭介夫,開化,開化,118.40488,29.14485,,
149,馬道貫,東陽,境内,120.22798,29.26057,,
150,宇文公諒,吳興,吳興,120.1,30.86,,
151,劉子青,奉化,奉化,121.40691,29.65166,,
152,項棣孫,麗水,麗水,119.91301,28.44873,,
153,陳潤祖,烏程,烏程,120.09931,30.86496,,
154,趙許岳,永嘉,,120.65322,28.01829,,
155,杜世學,慶元,慶元,121.54266,29.86632,,
156,黄玭,嘉興,嘉興,120.7532,30.76747,,
157,陳規,奉化,奉化,121.40691,29.65166,,
158,俞鎮,崇德,桐鄉,120.41874,30.53045,,
159,顧文琛,檇李,嘉興,120.76,30.77,,
160,岑良卿,餘姚,餘姚,121.15276,30.04907,,
161,吳復,富春,富陽,119.95,30.07,,
162,周仔肩,臨海,臨海,121.1206,28.84313,,
163,楊維楨,諸暨,諸暨,120.22766,29.71314,,
164,吳萊,浦江,浦江,119.88368,29.45871,,
165,貝瓊,崇德,桐鄉,120.41874,30.53045,,
166,戴俞,西安,西安,118.88,28.97,,
167,陳剛,平陽,平陽,120.55644,27.67572,,
168,史駉孫,鄞縣,寧波,121.54266,29.86632,,
169,岑士貴,餘姚,餘姚,121.15276,30.04907,,
170,張杞,山陰,紹興,120.57826,30.00452,,
171,程徐,鄞縣,寧波,121.54266,29.86632,,
172,黄潛,婺州,婺州,119.64992,29.10471,,
173,朱文剛,天台,天台,121.02656,29.13826,,
174,黄向,慶元,寧波,119.05132,27.6142,,
175,陶澤,諸暨,諸暨,120.22766,29.71314,,
176,吳性誼,嘉興,嘉興,120.7532,30.76747,,
177,周仁榮,臨海,臨海,121.1206,28.84313,,
178,俞銳,嘉興,嘉興,120.7532,30.76747,,
179,楊敬德,臨海,臨海,121.1206,28.84313,,
180,胡一中,諸暨,諸暨,120.22766,29.71314,,
181,釋妙峰,,,#N/A,#N/A,,
182,史伯璿,平陽,平陽,120.55644,27.67572,,
183,季仁壽,龍泉,龍泉,119.12091,28.08256,,
184,姚熙载,衢州,衢縣,118.86765,28.95682,,
185,龔端禮,嘉興,嘉興,120.7532,30.76747,,
186,王澤,富春,富陽,119.95,30.07,,
187,翁傳心,慈谿,慈溪,121.4442,29.9792,,
188,黄玠,慈谿,,121.4442,29.9792,,
189,釋大同,上虞,上虞,120.97359,29.95265,,
190,錢宰,會稽,紹興,120.57826,30.00452,,
191,董復禮,奉化,奉化,121.40691,29.65166,,
192,葉儀,金華,金華,119.64992,29.10471,,
193,孔瀛,衢州,衢州,118.86765,28.95682,,
194,王毅,龍泉,龍泉,119.12091,28.08256,,
195,魯貞,開化,開化,118.40488,29.14485,,
196,陳基,臨海,臨海,121.1206,28.84313,,
197,朱右,臨海,臨海,121.1206,28.84313,,
198,楊彝,錢塘,錢塘,120.19,30.26,,
199,葉載采,台州,台州,121.1206,28.84313,,
200,葉森,錢塘,杭州,120.19,30.26,,
201,高明,瑞安,温州,120.63069,27.79051,,
202,俞和,錢塘,杭州,120.19,30.26,,
203,潘澤民,嘉興,嘉興,120.7532,30.76747,,
204,徐德祖,青田,青田,120.28816,28.14388,,
205,胡翰,金華,金華,119.64992,29.10471,,
206,王順孫,瑞安,瑞安,120.63069,27.79051,,
207,趙俶,紹興,紹興,120.58,30.01,,
208,柯九思,仙居,仙居,120.73346,28.85221,,
209,方德麟,桐江,桐廬,119.64,29.8,,
210,沈夢麟,歸安,吳興,120.09931,30.86496,,
211,釋壽寧,永嘉,永嘉,120.65322,28.01829,,
212,宋禧,餘姚,餘姚,121.15276,30.04907,,
213,孔暘,平陽,平陽,120.55644,27.67572,,
214,汪文璟,常山,常山,118.50266,28.90373,,
215,胡深,龍泉,龍泉,119.12091,28.08256,,
216,陳椿,天台,天台,121.02656,29.13826,,
