add1,add,number
长兴,長興,2
常山,常山,2
崇德,崇德,4
处州,處州,3
淳安,淳安,9
慈溪,慈溪,8
定海,定海,1
东嘉,東嘉,1
东瓯,東甌,1
东阳,東陽,5
奉化,奉化,12
富春,富春,2
归安,歸安,2
海宁,海寧,3
杭州,杭州,7
湖州,湖州,5
黄岩,黄巖,12
会稽,會稽,2
嘉禾,嘉禾,1
嘉兴,嘉興,11
江浙,江浙,1
金华,金華,10
缙云,縉雲,2
句章,句章,1
开化,開化,3
兰溪,蘭溪,3
丽水,麗水,5
临安,臨安,1
临海,臨海,9
龙泉,龍泉,6
睦州,睦州,1
宁海,寧海,4
平江,平江,1
平阳,平陽,10
浦江,浦江,16
钱唐,錢唐,3
钱塘,錢塘,18
青田,青田,2
庆元,慶元,4
衢县,衢縣,1
衢州,衢州,4
瑞安,瑞安,3
山阴,山陰,7
上虞,上虞,5
绍兴,紹興,4
嵊县,嵊縣,3
寿昌,壽昌,1
四明,四明,4
松夏,松夏,1
松阳,松陽,2
遂安,遂安,2
遂昌,遂昌,1
台州,台州,1
天台,天台,13
桐江,桐江,1
桐庐,桐廬,1
温州,温州,1
乌程,烏程,5
吴兴,吳興,11
婺州,婺州,2
西安,西安,1
仙居,仙居,3
象山,象山,2
新昌,新昌,3
新城,新城,1
学海,学海,1
盐官,鹽官,2
义乌,義烏,8
鄞县,鄞縣,14
永嘉,永嘉,13
永康,永康,3
甬东,甬東,1
甬上,甬上,1
余杭,餘杭,2
余姚,餘姚,5
乐清,樂清,1
诸暨,諸暨,11
诸曁,諸曁,1
嘉兴,檇李,2
(空白),(空白),
