地名,数值,X,Y
云南府,,102.71035,25.04591
杨林,1507,103.06189,25.22011
寻甸,,103.25372,25.5622
马龙,1509,103.58021,25.42843
南宁县,1504,103.79678,25.49584
沾益,1506,103.82211,25.60993
兰泉驿,20024,103.84714,36.04703
锦官驿,1168,104.078,30.65038
清水驿,,104.10787,35.84682
新都驿,,104.16055,30.83139
延寿驿,850,104.62031,35.57509
普安,,104.64989,25.79314
金山驿,9705,104.7493,31.45901
新兴驿,444,104.95208,25.78841
保宁驿,177,105.05614,35.6942
尾酒驿,446,105.21588,25.83347
查城,1040,105.48582,25.91021
泾阳驿,179,105.72882,35.5241
安庄驿,421,105.76356,26.0546
问津驿,1121,105.83299,32.44389
普利驿,420,105.92786,26.24324
隆城驿,182,106.12224,35.61709
平坝驿,,106.26086,26.41779
威清驿,424,106.46762,26.55605
凤县,1618,106.62294,33.94525
瓦亭驿,1788,106.31997,35.69139
高平驿,180,106.68566,35.53585
贵州驿,428,106.70911,26.58078
勉县,,106.7748,33.1379
褒城,,106.96926,33.20039
龙里驿,429,106.98106,26.45834
陈仓驿,,107.14039,34.38187
白水驿,186,106.97579,35.42942
新添驿,434,107.23962,26.58565
瓦云驿,20027,107.36339,35.32881
岐周驿,856,107.62709,34.43964
清平驿,960,107.78898,26.65832
宜禄驿,1636,107.78932,35.20544
凤泉驿,1634,107.86849,34.36182
永安驿,858,108.04397,34.81275
新平驿,,108.07799,35.03966
邰城驿,866,108.1051,34.33205
偏桥驿,411,108.11893,27.03727
威胜驿,20145,108.2356,34.5303
镇远驿,413,108.41845,27.05426
白渠驿,861,108.4826,34.29872
店张,,108.5271,34.42854
清浪卫,,108.73038,27.12668
平溪驿,,108.91154,27.23593
京兆驿,1667,108.94421,34.26661
晃州驿,,109.19851,27.3817
新丰驿,,109.2383,34.43141
丰原驿,871,109.50124,34.503
华山驿,,110.0784,34.53443
潼津驿,888,110.08936,34.56831
船溪驿,,110.15422,28.28003
辰阳水驿,632,110.18265,28.01848
潼关驿,,110.27365,34.59881
东江驿,290,110.28626,25.28006
大龙驿,292,110.38369,25.4632
怡容驿,9620,110.39697,28.45819
樊桥驿,20886,110.596,35.056
白云驿,740,110.66587,25.61313
泓芝驿,1085,110.95201,35.06637
城南驿,294,111.065,25.93181
涑川驿,1086,111.21721,35.35772
蒙城驿,148126,111.44948,35.7921
桃源驿,,111.47777,28.9016
建雄驿,1059,111.51543,36.07804
零陵,664,111.61256,26.21034
普涧驿,1062,111.68291,36.2594
大龙驿,624,111.6913,29.03481
霍山驿,20178,111.72808,36.56382
兰江驿,9615,111.75699,29.64015
瑞石驿,1065,111.77621,36.84215
义棠驿,1107,111.91216,37.02647
三吾驿,729,111.8559,26.59169
孱陵驿,612,112.0781,29.9145
汉江驿,9604,112.15586,32.02028
荆南驿,592,112.19077,30.35044
