AddrChn,Name_CH,X,Y
南充,陈于陛,106.080727,30.798986
奉化,戴洵,121.406906,29.651657
秀水,冯梦祯,120.753204,30.767469
無錫,顾宪成,120.297668,31.574614
無錫,顾允成,120.297668,31.574614
金谿,胡桂芳,116.77626,27.910084
蘭溪,胡应麟,119.478851,29.204453
丹陽,姜士昌,119.569855,31.995802
京山,李维桢,113.116852,31.024815
晉江,李贽,118.589905,24.909641
吉水,刘应秋,115.132248,27.214367
泰和,龙宗武,114.8948746,26.79210281
南城,罗汝芳,116.627449,27.559717
宣城,梅鼎祚,118.7425,30.946941
順德,欧大任,113.253921,22.84786
宣城,沈懋学,118.7425,30.946941
長洲,申时行,120.618622,31.31271
嘉興,沈思孝,120.753204,30.767469
宜黃,谭纶,116.210182,27.546391
臨川,汤凤祖,116.351341,27.984781
臨川,汤会祖,116.351341,27.984781
臨川,汤良祖,116.351341,27.984781
臨川,汤儒祖,116.351341,27.984781
臨川,汤尚贤,116.351341,27.984781
臨川,汤显祖,116.351341,27.984781
鄞縣,屠隆,121.542656,29.866316
定安,王弘诲,110.31812,19.70247
聊城,王汝训,115.987486,36.446715
太倉州,王世懋,121.0986328,31.45100021
鄞縣,汪镗,121.542656,29.866316
長樂,谢杰,119.518837,25.959837
杭州右衛,虞淳熙,120.168625,30.294125
鄞縣,余有丁,121.542656,29.866316
興化,袁应祺,119.835282,32.934967
荊州,张居正,112.19077,30.35044
蒲州,张四维,115.919899,38.68215179
新建,张位,115.89772,28.674896
高邑,赵南星,114.611526,37.604755
江陰,赵用贤,120.26609,31.90877
烏程,朱长春,120.099312,30.864964
吉水,邹元标,115.132248,27.214367
長興,臧懋循,119.901375,31.013893
長垣,李化龙,114.682724,35.19836
長州,张凤翼,120.618622,31.31271
長州,张献翼,120.618622,31.31271
長州,彭兴祖,120.618622,31.31271
常熟,钱希言,120.733788,31.646582
常熟,顾大章,120.733788,31.646582
常熟,钱谦益,120.733788,31.646582
陳留,刘芳誉,114.524528,34.673195
丹陽,姜士昌,119.569855,31.995802
東莞,钟宗望,113.749817,23.046623
福清,叶向高,119.381439,25.727917
高安,陈邦瞻,115.37228,28.4256
高陵,刘天虞,109.080475,34.533325
公安,袁宏道,112.226486,30.057533
公安,袁宗道,112.226486,30.057533
公安,袁中道,112.226486,30.057533
固始,马犹龙,"115.67110,",32.18354
黃岡,王一鸣,114.865494,30.446987
黃梅,石昆玉,115.93494,30.0792
嘉興,乐石帆,120.753204,30.767469
嘉興,岳元声,120.753204,30.767469
江山,何晓,118.615936,28.735312
江陰,李至清,120.26609,31.90877
金谿,谢廷谅,116.77626,27.910084
金谿,高应芳,116.77626,27.910084
晉江,郭惟贤,118.589905,24.909641
崑山,张大复,120.94823,31.38611
臨川,曾如春,116.351341,27.984781
臨川,周宗镐,116.351341,27.984781
臨川,帅机,116.351341,27.984781
臨川,徐良傅,116.351341,27.984781
臨川,丘兆麟,116.351341,27.984781
臨川,汤维岳,116.351341,27.984781
麻城,周弘祖,115.030968,31.180918
南豐,朱尔玉,116.52993,27.214306
鄱陽,祝世禄,116.663833,28.994167
蘄州,袁世振,115.3451996,30.06250191
仁和,黄汝亨,120.168625,30.294125
仁和,卓发之,120.168625,30.294125
山陰,王思任,120.578262,30.004515
山陰,张汝霖,120.578262,30.004515
山陰,陆梦龙,120.578262,30.004515
遂昌,叶干,119.263466,28.587894
通州,李三才,120.8546448,32.01047134
吳江,达观禅师,120.637787,31.167065
無錫,高攀龙,120.297668,31.574614
無錫,邹迪光,120.297668,31.574614
武進,张师绎,119.952301,31.782784
婺源,汪应蛟,117.844589,29.244728
新建,丁此吕,115.89772,28.674896
宣城,汤宾尹,118.7425,30.946941
餘姚,张岳,121.152763,30.049067
餘姚,吕胤昌,121.152763,30.049067
餘姚,孙如法,121.152763,30.049067
樂安,董裕,115.831779,27.426289
