FID,the_geom,MAJ_MINOR,SOURCE
route.1,"MULTILINESTRING ((110.35794 20.00817, 110.16278 20.32968))",2,
route.2,"MULTILINESTRING ((110.16278 20.32968, 111.95895 21.84542))",2,
route.3,"MULTILINESTRING ((111.95895 21.84542, 112.30747 22.19195))",2,
route.4,"MULTILINESTRING ((112.30747 22.19195, 113.552 22.2))",2,
route.5,"MULTILINESTRING ((113.552 22.2, 113.3736 22.52581))",2,
route.6,"MULTILINESTRING ((113.3736 22.52581, 113.74982 23.04662))",2,
route.7,"MULTILINESTRING ((113.74982 23.04662, 112.45316 23.05692))",2,
route.8,"MULTILINESTRING ((112.45316 23.05692, 113.25607 23.13462))",2,
route.9,"MULTILINESTRING ((113.25607 23.13462, 113.25607 23.13462))",2,
route.10,"MULTILINESTRING ((113.25607 23.13462, 114.30209 25.11884))",2,
route.11,"MULTILINESTRING ((114.30209 25.11884, 114.33871 25.32237))",2,
route.12,"MULTILINESTRING ((114.33871 25.32237, 114.93248 25.847))",2,
route.13,"MULTILINESTRING ((114.93248 25.847, 114.97128 27.10324))",2,
route.14,"MULTILINESTRING ((114.97128 27.10324, 116.35134 27.98478))",2,
route.15,"MULTILINESTRING ((116.35134 27.98478, 120.65322 28.01829))",2,
route.16,"MULTILINESTRING ((120.65322 28.01829, 112.97813 28.1982))",2,
route.17,"MULTILINESTRING ((112.97813 28.1982, 119.91301 28.44873))",2,
route.18,"MULTILINESTRING ((119.91301 28.44873, 119.26347 28.58789))",2,
route.19,"MULTILINESTRING ((119.26347 28.58789, 115.89772 28.6749))",2,
route.20,"MULTILINESTRING ((115.89772 28.6749, 120.57826 30.00451))",2,
route.21,"MULTILINESTRING ((120.57826 30.00451, 120.16862 30.29412))",2,
route.22,"MULTILINESTRING ((120.16862 30.29412, 114.86549 30.44699))",2,
route.23,"MULTILINESTRING ((114.86549 30.44699, 118.7425 30.94694))",2,
route.24,"MULTILINESTRING ((118.7425 30.94694, 120.85464478 32.010471344))",2,
route.25,"MULTILINESTRING ((120.85464478 32.010471344, 118.76899 32.05256))",2,
route.26,"MULTILINESTRING ((118.76899 32.05256, 119.43719 32.39127))",2,
route.27,"MULTILINESTRING ((119.43719 32.39127, 117.15701 35.08502))",2,
route.28,"MULTILINESTRING ((117.15701 35.08502, 116.368 39.93143))",2,
